timestamp,site,marca_buscada,produto,preco,url
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Zero Álcool Sleek Pack 12 Latas 350ml Cada,"68,48",https://www.samsclub.com.br/cerveja-heineken-zero-alcool-sleek-pack-12-latas-350ml-cada-7896045506910/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Lager Premium Puro Malte Zero Álcool Heineken Pack com 6 Unidades 330ml Cada,"39,98",https://www.samsclub.com.br/cerveja-lager-premium-puro-malte-zero-alcool-heineken-pack-com-6-unidades-330ml-cada-7896045506040/p
2026-06-30 08:00:40,Sam's Club,Spaten,Cerveja Munich Helles Puro Malte Spaten Garrafa 600ml,"9,98",https://www.samsclub.com.br/cerveja-munich-helles-puro-malte-spaten-garrafa-600ml-789199129754/p
2026-06-30 08:00:40,Sam's Club,Spaten,Cerveja Spaten Munich Puro Malte Pack 8 Latas 269ml Cada,"28,98",https://www.samsclub.com.br/cerveja-spaten-munich-puro-malte-pack-8-latas-269ml-cada-7891991303354/p
2026-06-30 08:00:40,Sam's Club,Michelob,Cerveja Michelob Ultra Pack 6 Garrafas 330ml Cada,"32,94",https://www.samsclub.com.br/cerveja-michelob-ultra-pack-6-garrafas-330ml-cada-7891991299619/p
2026-06-30 08:00:40,Sam's Club,Stella Artois,Cerveja Puro Malte Stella Artois Belgium Garrafa 600ml,"9,98",https://www.samsclub.com.br/cerveja-puro-malte-stella-artois-belgium-garrafa-600ml-7891991295109/p
2026-06-30 08:00:40,Sam's Club,Stella Artois,Cerveja Stella Artois Gold Pack 6 Long Neck 330ml Cada,"40,48",https://www.samsclub.com.br/cerveja-stella-artois-gold-pack-6-long-neck-330ml-cada-7891991304870/p
2026-06-30 08:00:40,Sam's Club,Stella Artois,Cerveja Puro Malte Pure Gold Stella Artois Lata 8x350ml,"46,48",https://www.samsclub.com.br/cerveja-puro-malte-pure-gold-stella-artois-lata-8x350ml-7891991306485/p
2026-06-30 08:00:40,Sam's Club,Stella Artois,Cerveja Puro Malte Pure Gold sem Glúten Stella Artois Lata 8x269ml,"33,48",https://www.samsclub.com.br/cerveja-puro-malte-pure-gold-sem-gluten-stella-artois-lata-8x269ml-7891991306461/p
2026-06-30 08:00:40,Sam's Club,Stella Artois,Cerveja Pilsen Lager Premium Stella Artois Pack 6 Garrafas 330ml Cada,"34,74",https://www.samsclub.com.br/cerveja-pilsen-lager-premium-stella-artois-pack-6-garrafas-330ml-cada-7891991015462/p
