timestamp,site,marca_buscada,produto,quantidade,volume,preco_pack,preco_unitario,url
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken lata 269ml,1,269ml,"3,99","3,99",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata-269ml/1000042610
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Lager Heineken 350ml,1,350ml,"6,81","6,81",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-heineken-350ml/1000007872
2026-09-05 13:36:06,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken lata 269ml",1,269ml,"5,49","5,49",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-lata-269ml/1000045527
2026-09-05 13:36:06,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken long neck 330ml",1,330ml,"8,02","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-long-neck-330ml/1000034755
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken long neck 250ml,1,250ml,"6,59","6,59",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-250ml/1000007927
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken long neck 330ml,1,330ml,"8,02","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-330ml/1000008685
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken Ultimate Puro Malte sem Glúten Menos Calorias Lata 350ml,1,350ml,"6,92","6,92",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-ultimate-puro-malte-sem-gluten-menos-calorias-lata-350ml/1000056765
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Lager Puro Malte sem Glúten Heineken Ultimate Garrafa 330ml,1,330ml,"8,02","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-puro-malte-sem-gluten-heineken-ultimate-garrafa-330ml/1000056064
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken long neck 600ml,1,600ml,"14,95","14,95",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-600ml/1000007926
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Lager Zero Álcool Heineken Lata 350ml,1,350ml,"6,81","6,81",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-zero-alcool-heineken-lata-350ml/1000034754
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken barril 5 Litros,1,,"132,21","132,21",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-barril-5-litros/1000007871
2026-09-05 13:36:06,Sonda Delivery,Heineken,Cerveja Heineken Lata - 473ml,1,473ml,"8,13","8,13",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata---473ml/1000051283
