timestamp,site,marca_buscada,produto,quantidade,volume,preco_pack,preco_unitario,url
2026-07-06 11:12:38,Sonda Delivery,Spaten,Cerveja munich puro malte Spaten lata 350ml,1,350ml,"4,19","4,19",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-puro-malte-spaten-lata-350ml/1000039001
2026-07-06 11:12:38,Sam's Club,Heineken,"Cerveja Lager Heineken Pack 6 Long Neck 330ml cadaR$ 41,98Adicionar",6,330ml,"21,98","3,66",https://www.samsclub.com.br/produto/cerveja-lager-heineken-pack-6-long-neck-330ml-cada-75204
2026-07-06 11:12:38,Sam's Club,Heineken,"Cerveja Heineken Sleek Pack 12 Latas 350ml CadaR$ 68,48-14%R$ 58,68Adicionar",12,350ml,"28,98","2,42",https://www.samsclub.com.br/produto/cerveja-heineken-sleek-pack-12-latas-350ml-cada-125889
2026-07-06 11:12:38,Sam's Club,Heineken,"Cerveja Heineken Pack 8 Latas 269ml CadaR$ 36,98Adicionar",8,269ml,"28,98","3,62",https://www.samsclub.com.br/produto/cerveja-heineken-pack-8-latas-269ml-cada-112320
2026-07-06 11:12:38,Sam's Club,Michelob,"Cerveja Michelob Ultra Pack 6 Garrafas 330ml CadaR$ 38,98-12%R$ 34,14Adicionar",6,330ml,"28,98","4,83",https://www.samsclub.com.br/produto/cerveja-michelob-ultra-pack-6-garrafas-330ml-cada-112315
2026-07-06 11:12:38,Sam's Club,Heineken,"Cerveja Lager Heineken Garrafa 600mlR$ 13,48Adicionar",1,600ml,"28,98","28,98",https://www.samsclub.com.br/produto/cerveja-lager-heineken-garrafa-600ml-75205
2026-07-06 11:12:38,Sam's Club,Spaten,"Cerveja Spaten Munich Puro Malte Pack 8 Latas 269ml CadaR$ 28,98Adicionar",8,269ml,"28,98","3,62",https://www.samsclub.com.br/produto/cerveja-spaten-munich-puro-malte-pack-8-latas-269ml-cada-117349
2026-07-06 11:12:38,Sam's Club,Heineken,"Cerveja Heineken Zero Ãlcool Pack 8 Latas 269ml CadaR$ 36,98Adicionar",8,269ml,"28,98","3,62",https://www.samsclub.com.br/produto/cerveja-heineken-zero-alcool-pack-8-latas-269ml-cada-134556
